asset,model,confidence_level,method,period,n_obs,expected_breaches,actual_breaches,breach_rate,kupiec_lr,kupiec_p_value,christoffersen_lr,christoffersen_p_value,es_tail_loss_ratio,avg_breach_size,max_cluster_length,avg_days_between_breaches
AAPL,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,46,0.04185623293903549,1.6205343991379095,0.20301728934846797,1.898712741924271,0.16822247495695042,1.0348907184652583,0.01187799362113066,2,32.62222222222222
AAPL,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,15,0.01364877161055505,1.326730539054921,0.24938769214513268,1.6677462201465119,0.1965606818082224,0.9633549627934859,0.009030769481676233,2,89.14285714285714
GLD,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,51,0.04640582347588717,0.30592448808425843,0.5801919172545631,4.62457877693447,0.03151699907651362,0.9964522216962024,0.006775976592603064,2,31.86
GLD,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,0.08982646414843032,0.7643978865128542,1.1325622160298239,0.015149260814013557,1,221.16666666666666
IWM,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,50,0.04549590536851683,0.48336415956634937,0.48690242927729155,0.23115444041161481,0.6306691464493255,0.9099140387489779,0.006747948112404872,2,32.46938775510204
IWM,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,5,0.004549590536851683,4.137438816978587,0.041944586478244505,0.04574581370487607,0.8306385235480794,1.0355056810442367,0.011258121400667362,1,151.25
JPM,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,58,0.052775250227479524,0.1751609477332181,0.6755652575979891,0.0014879266267939784,0.969230309330434,1.058749016080283,0.011813008865587787,2,27.614035087719298
JPM,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,16,0.014558689717925387,2.0223997469619235,0.15499402479012347,1.454823874282198,0.22775549553715468,1.0233540577174658,0.012456000388949121,2,102.2
MSFT,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,61,0.055505004549590536,0.6780484669573639,0.41025953852249464,0.7367635422941703,0.3906996074350174,0.9685685484236358,0.009704940193779332,2,26.266666666666666
MSFT,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.0729138038173978,0.015059914556438098,1,137.11111111111111
NVDA,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,50,0.04549590536851683,0.48336415956634937,0.48690242927729155,0.038404178669395606,0.8446337714925602,0.9034582484564289,0.013883125733658595,2,31.408163265306122
NVDA,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,3,0.00272975432211101,8.248292037102864,0.004079036322261476,0.016438376723129977,0.8979810193360448,1.1441951293553378,0.04096602812589963,1,442.5
QQQ,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,59,0.05368516833484986,0.30715484886144395,0.5794313541935328,0.010384960441797375,0.9188307904848937,0.9286533634772356,0.006991141274477787,2,26.56896551724138
QQQ,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,3.1471600420214116,0.07605923233228284,0.9160494125291637,0.006635698378132035,2,124.77777777777777
SPY,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,58,0.052775250227479524,0.1751609477332181,0.6755652575979891,0.2937205576989186,0.5878461151156111,0.9590263669180262,0.005825104725828645,2,27.05263157894737
SPY,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,3.1471600420214116,0.07605923233228284,1.0024533761286507,0.007899736050163697,2,138.11111111111111
TLT,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,62,0.056414922656960874,0.9158403149458536,0.338569545338982,0.09612566016033952,0.7565294855319716,0.9202830776241242,0.004626118994553643,2,26.114754098360656
TLT,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,9,0.00818926296633303,0.3879361078638084,0.533386270878409,0.13217206597870756,0.7161905119251628,0.8635268279831035,0.003042468209170892,1,199.125
USO,previous_day_rv,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,40,0.036396724294813464,4.709519930885392,0.02999602694140502,1.3745111479287857,0.24103831570844525,0.957441273657793,0.01360187134988563,2,38.794871794871796
USO,previous_day_rv,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,0.08982646414843032,0.7643978865128542,0.9499929947580676,0.014483181888639219,1,200.33333333333334
