threshold_percentile,validation_precision,validation_recall,validation_f1,validation_false_high_flag_rate,full_precision,full_recall,full_f1,full_false_high_flag_rate,selection_note
0.8,0.7814335402558769,0.7816673976936502,0.7618121378837922,0.2185664597441232,0.3946714758732995,0.8308771929824562,0.5342616130068293,0.6053285241267006,validation F1 leader
0.82,0.7951503194263402,0.699064863866911,0.7257839917736059,0.20484968057365993,0.4109749072947544,0.7905263157894737,0.5399021432574274,0.5890250927052456,
0.84,0.7915151343537425,0.6259626320422811,0.6796760645229941,0.20848486564625732,0.4345940045102825,0.7543859649122807,0.5506703410795868,0.5654059954897175,current fixed threshold
0.842,0.7915942327148592,0.6187196930538318,0.6748970810237417,0.2084057672851408,0.4370597995201577,0.7505263157894737,0.5516042697120063,0.5629402004798422,
0.85,0.7984138192382799,0.5966524750486439,0.6623979674781268,0.20158618076172002,0.4469615706409302,0.7357894736842105,0.555214115246637,0.5530384293590698,
0.86,0.8090389511493971,0.5708642251270147,0.6492775117990719,0.1909610488506029,0.4597870499401971,0.7210526315789474,0.5606140696155307,0.540212950059803,
0.88,0.8167030654069538,0.5052583087539362,0.6021975728544535,0.18329693459304625,0.4779197703389192,0.6785964912280702,0.5600535551713719,0.5220802296610808,
0.9,0.8187615766108486,0.46982843424270015,0.5714812847288953,0.18123842338915153,0.5069392813447262,0.6350877192982456,0.5631148600920968,0.4930607186552738,
